[pagamento.data_pagamento] [= [pagamento.data_noleggio]
[pagamento.npersonale_id] [= [film_categoria.categoria_id]
[pagamento.npersonale_id] [= [indirizzo.indirizzo_id]
[pagamento.npersonale_id] [= [indirizzo.città_id]
[pagamento.npersonale_id] [= [indirizzo.stato_id]
[pagamento.npersonale_id] [= [inventario.inventario_id]
[pagamento.npersonale_id] [= [inventario.film_id]
[pagamento.npersonale_id] [= [inventario.negozio_id]
[pagamento.npersonale_id] [= [lingua.lingua_id]
[pagamento.npersonale_id] [= [negozio.negozio_id]
[pagamento.npersonale_id] [= [negozio.capo_personale_id]
[pagamento.npersonale_id] [= [negozio.indirizzo_id]
[pagamento.npersonale_id] [= [pagamento.pagamento_id]
[pagamento.npersonale_id] [= [pagamento.cliente_id]
[pagamento.npersonale_id] [= [pagamento.ppersonale_id]
[pagamento.npersonale_id] [= [pagamento.noleggio_id]
[pagamento.npersonale_id] [= [pagamento.inventario_id]
[pagamento.npersonale_id] [= [personale.personale_id]
[pagamento.npersonale_id] [= [personale.negozio_id]
[personale.indirizzo_id] [= [attore.attore_id]
[personale.indirizzo_id] [= [categoria.categoria_id]
[personale.indirizzo_id] [= [cliente.cliente_id]
[personale.indirizzo_id] [= [film.film_id]
[personale.indirizzo_id] [= [film.durata_noleggio]
[personale.indirizzo_id] [= [film_attore.attore_id]
[personale.indirizzo_id] [= [film_attore.film_id]
[personale.indirizzo_id] [= [film_categoria.film_id]
[personale.indirizzo_id] [= [film_categoria.categoria_id]
[personale.indirizzo_id] [= [indirizzo.indirizzo_id]
[personale.indirizzo_id] [= [indirizzo.città_id]
[personale.indirizzo_id] [= [indirizzo.stato_id]
[personale.indirizzo_id] [= [inventario.inventario_id]
[personale.indirizzo_id] [= [inventario.film_id]
[personale.indirizzo_id] [= [lingua.lingua_id]
[personale.indirizzo_id] [= [pagamento.pagamento_id]
[personale.indirizzo_id] [= [pagamento.cliente_id]
[personale.indirizzo_id] [= [pagamento.noleggio_id]
[personale.indirizzo_id] [= [pagamento.inventario_id]
[film.data_rilascio] [= [inventario.inventario_id]
[film.data_rilascio] [= [pagamento.pagamento_id]
[film.data_rilascio] [= [pagamento.noleggio_id]
[film.data_rilascio] [= [pagamento.inventario_id]
[film.durata] [= [attore.attore_id]
[film.durata] [= [cliente.cliente_id]
[film.durata] [= [cliente.indirizzo_id]
[film.durata] [= [film.film_id]
[film.durata] [= [film_attore.attore_id]
[film.durata] [= [film_attore.film_id]
[film.durata] [= [film_categoria.film_id]
[film.durata] [= [indirizzo.indirizzo_id]
[film.durata] [= [indirizzo.città_id]
[film.durata] [= [inventario.inventario_id]
[film.durata] [= [pagamento.pagamento_id]
[film.durata] [= [pagamento.cliente_id]
[film.durata] [= [pagamento.noleggio_id]
[film.durata] [= [pagamento.inventario_id]
[film.tariffa_noleggio] [= [pagamento.ammontare]
[indirizzo.indirizzo_id] [= [film.film_id]
[indirizzo.indirizzo_id] [= [film_categoria.film_id]
[indirizzo.indirizzo_id] [= [inventario.inventario_id]
[personale.nome] [= [personale.nomeutente]
[pagamento.ppersonale_id] [= [attore.attore_id]
[pagamento.ppersonale_id] [= [categoria.categoria_id]
[pagamento.ppersonale_id] [= [cliente.cliente_id]
[pagamento.ppersonale_id] [= [cliente.negozio_id]
[pagamento.ppersonale_id] [= [film.film_id]
[pagamento.ppersonale_id] [= [film_attore.attore_id]
[pagamento.ppersonale_id] [= [film_attore.film_id]
[pagamento.ppersonale_id] [= [film_categoria.film_id]
[pagamento.ppersonale_id] [= [film_categoria.categoria_id]
[pagamento.ppersonale_id] [= [indirizzo.indirizzo_id]
[pagamento.ppersonale_id] [= [indirizzo.città_id]
[pagamento.ppersonale_id] [= [indirizzo.stato_id]
[pagamento.ppersonale_id] [= [inventario.inventario_id]
[pagamento.ppersonale_id] [= [inventario.film_id]
[pagamento.ppersonale_id] [= [inventario.negozio_id]
[pagamento.ppersonale_id] [= [lingua.lingua_id]
[pagamento.ppersonale_id] [= [negozio.negozio_id]
[pagamento.ppersonale_id] [= [negozio.capo_personale_id]
[pagamento.ppersonale_id] [= [negozio.indirizzo_id]
[pagamento.ppersonale_id] [= [pagamento.pagamento_id]
[pagamento.ppersonale_id] [= [pagamento.cliente_id]
[pagamento.ppersonale_id] [= [pagamento.noleggio_id]
[pagamento.ppersonale_id] [= [pagamento.inventario_id]
[pagamento.ppersonale_id] [= [pagamento.npersonale_id]
[pagamento.ppersonale_id] [= [personale.personale_id]
[pagamento.ppersonale_id] [= [personale.negozio_id]
[indirizzo.stato_id] [= [attore.attore_id]
[indirizzo.stato_id] [= [cliente.cliente_id]
[indirizzo.stato_id] [= [film.film_id]
[indirizzo.stato_id] [= [film_attore.attore_id]
[indirizzo.stato_id] [= [film_attore.film_id]
[indirizzo.stato_id] [= [film_categoria.film_id]
[indirizzo.stato_id] [= [indirizzo.indirizzo_id]
[indirizzo.stato_id] [= [indirizzo.città_id]
[indirizzo.stato_id] [= [inventario.inventario_id]
[indirizzo.stato_id] [= [pagamento.pagamento_id]
[indirizzo.stato_id] [= [pagamento.cliente_id]
[indirizzo.stato_id] [= [pagamento.noleggio_id]
[cliente.cliente_id] [= [film.film_id]
[cliente.cliente_id] [= [film_categoria.film_id]
[cliente.cliente_id] [= [inventario.inventario_id]
[cliente.cliente_id] [= [pagamento.cliente_id]
[personale.negozio_id] [= [attore.attore_id]
[personale.negozio_id] [= [categoria.categoria_id]
[personale.negozio_id] [= [cliente.cliente_id]
[personale.negozio_id] [= [cliente.negozio_id]
[personale.negozio_id] [= [film.film_id]
[personale.negozio_id] [= [film_attore.attore_id]
[personale.negozio_id] [= [film_attore.film_id]
[personale.negozio_id] [= [film_categoria.film_id]
[personale.negozio_id] [= [film_categoria.categoria_id]
[personale.negozio_id] [= [indirizzo.indirizzo_id]
[personale.negozio_id] [= [indirizzo.città_id]
[personale.negozio_id] [= [indirizzo.stato_id]
[personale.negozio_id] [= [inventario.inventario_id]
[personale.negozio_id] [= [inventario.film_id]
[personale.negozio_id] [= [inventario.negozio_id]
[personale.negozio_id] [= [lingua.lingua_id]
[personale.negozio_id] [= [negozio.negozio_id]
[personale.negozio_id] [= [negozio.capo_personale_id]
[personale.negozio_id] [= [negozio.indirizzo_id]
[personale.negozio_id] [= [pagamento.pagamento_id]
[personale.negozio_id] [= [pagamento.cliente_id]
[personale.negozio_id] [= [pagamento.ppersonale_id]
[personale.negozio_id] [= [pagamento.noleggio_id]
[personale.negozio_id] [= [pagamento.inventario_id]
[personale.negozio_id] [= [pagamento.npersonale_id]
[personale.negozio_id] [= [personale.personale_id]
[pagamento.data_noleggio] [= [pagamento.data_pagamento]
[film_attore.attore_id] [= [attore.attore_id]
[film_attore.attore_id] [= [cliente.cliente_id]
[film_attore.attore_id] [= [film.film_id]
[film_attore.attore_id] [= [film_attore.film_id]
[film_attore.attore_id] [= [film_categoria.film_id]
[film_attore.attore_id] [= [indirizzo.indirizzo_id]
[film_attore.attore_id] [= [indirizzo.città_id]
[film_attore.attore_id] [= [inventario.inventario_id]
[film_attore.attore_id] [= [pagamento.pagamento_id]
[film_attore.attore_id] [= [pagamento.cliente_id]
[film_attore.attore_id] [= [pagamento.noleggio_id]
[personale.attivo] [= [attore.attore_id]
[personale.attivo] [= [categoria.categoria_id]
[personale.attivo] [= [cliente.cliente_id]
[personale.attivo] [= [cliente.negozio_id]
[personale.attivo] [= [cliente.attivo]
[personale.attivo] [= [film.film_id]
[personale.attivo] [= [film.lingua_id]
[personale.attivo] [= [film_attore.attore_id]
[personale.attivo] [= [film_attore.film_id]
[personale.attivo] [= [film_categoria.film_id]
[personale.attivo] [= [film_categoria.categoria_id]
[personale.attivo] [= [indirizzo.indirizzo_id]
[personale.attivo] [= [indirizzo.città_id]
[personale.attivo] [= [indirizzo.stato_id]
[personale.attivo] [= [inventario.inventario_id]
[personale.attivo] [= [inventario.film_id]
[personale.attivo] [= [inventario.negozio_id]
[personale.attivo] [= [lingua.lingua_id]
[personale.attivo] [= [negozio.negozio_id]
[personale.attivo] [= [negozio.capo_personale_id]
[personale.attivo] [= [negozio.indirizzo_id]
[personale.attivo] [= [pagamento.pagamento_id]
[personale.attivo] [= [pagamento.cliente_id]
[personale.attivo] [= [pagamento.ppersonale_id]
[personale.attivo] [= [pagamento.noleggio_id]
[personale.attivo] [= [pagamento.inventario_id]
[personale.attivo] [= [pagamento.npersonale_id]
[personale.attivo] [= [personale.personale_id]
[personale.attivo] [= [personale.negozio_id]
[negozio.indirizzo_id] [= [attore.attore_id]
[negozio.indirizzo_id] [= [categoria.categoria_id]
[negozio.indirizzo_id] [= [cliente.cliente_id]
[negozio.indirizzo_id] [= [cliente.negozio_id]
[negozio.indirizzo_id] [= [film.film_id]
[negozio.indirizzo_id] [= [film_attore.attore_id]
[negozio.indirizzo_id] [= [film_attore.film_id]
[negozio.indirizzo_id] [= [film_categoria.film_id]
[negozio.indirizzo_id] [= [film_categoria.categoria_id]
[negozio.indirizzo_id] [= [indirizzo.indirizzo_id]
[negozio.indirizzo_id] [= [indirizzo.città_id]
[negozio.indirizzo_id] [= [indirizzo.stato_id]
[negozio.indirizzo_id] [= [inventario.inventario_id]
[negozio.indirizzo_id] [= [inventario.film_id]
[negozio.indirizzo_id] [= [inventario.negozio_id]
[negozio.indirizzo_id] [= [lingua.lingua_id]
[negozio.indirizzo_id] [= [negozio.negozio_id]
[negozio.indirizzo_id] [= [negozio.capo_personale_id]
[negozio.indirizzo_id] [= [pagamento.pagamento_id]
[negozio.indirizzo_id] [= [pagamento.cliente_id]
[negozio.indirizzo_id] [= [pagamento.ppersonale_id]
[negozio.indirizzo_id] [= [pagamento.noleggio_id]
[negozio.indirizzo_id] [= [pagamento.inventario_id]
[negozio.indirizzo_id] [= [pagamento.npersonale_id]
[negozio.indirizzo_id] [= [personale.personale_id]
[negozio.indirizzo_id] [= [personale.negozio_id]
[pagamento.cliente_id] [= [cliente.cliente_id]
[pagamento.cliente_id] [= [film.film_id]
[pagamento.cliente_id] [= [film_categoria.film_id]
[pagamento.cliente_id] [= [inventario.inventario_id]
[film.film_id] [= [film_categoria.film_id]
[film.film_id] [= [inventario.inventario_id]
[cliente.indirizzo_id] [= [film.film_id]
[cliente.indirizzo_id] [= [film_categoria.film_id]
[cliente.indirizzo_id] [= [indirizzo.indirizzo_id]
[cliente.indirizzo_id] [= [inventario.inventario_id]
[inventario.film_id] [= [film.film_id]
[inventario.film_id] [= [film_categoria.film_id]
[inventario.film_id] [= [inventario.inventario_id]
[negozio.capo_personale_id] [= [attore.attore_id]
[negozio.capo_personale_id] [= [categoria.categoria_id]
[negozio.capo_personale_id] [= [cliente.cliente_id]
[negozio.capo_personale_id] [= [cliente.negozio_id]
[negozio.capo_personale_id] [= [film.film_id]
[negozio.capo_personale_id] [= [film_attore.attore_id]
[negozio.capo_personale_id] [= [film_attore.film_id]
[negozio.capo_personale_id] [= [film_categoria.film_id]
[negozio.capo_personale_id] [= [film_categoria.categoria_id]
[negozio.capo_personale_id] [= [indirizzo.indirizzo_id]
[negozio.capo_personale_id] [= [indirizzo.città_id]
[negozio.capo_personale_id] [= [indirizzo.stato_id]
[negozio.capo_personale_id] [= [inventario.inventario_id]
[negozio.capo_personale_id] [= [inventario.film_id]
[negozio.capo_personale_id] [= [inventario.negozio_id]
[negozio.capo_personale_id] [= [lingua.lingua_id]
[negozio.capo_personale_id] [= [negozio.negozio_id]
[negozio.capo_personale_id] [= [negozio.indirizzo_id]
[negozio.capo_personale_id] [= [pagamento.pagamento_id]
[negozio.capo_personale_id] [= [pagamento.cliente_id]
[negozio.capo_personale_id] [= [pagamento.ppersonale_id]
[negozio.capo_personale_id] [= [pagamento.noleggio_id]
[negozio.capo_personale_id] [= [pagamento.inventario_id]
[negozio.capo_personale_id] [= [pagamento.npersonale_id]
[negozio.capo_personale_id] [= [personale.personale_id]
[negozio.capo_personale_id] [= [personale.negozio_id]
[attore.attore_id] [= [cliente.cliente_id]
[attore.attore_id] [= [film.film_id]
[attore.attore_id] [= [film_attore.attore_id]
[attore.attore_id] [= [film_attore.film_id]
[attore.attore_id] [= [film_categoria.film_id]
[attore.attore_id] [= [indirizzo.indirizzo_id]
[attore.attore_id] [= [indirizzo.città_id]
[attore.attore_id] [= [inventario.inventario_id]
[attore.attore_id] [= [pagamento.pagamento_id]
[attore.attore_id] [= [pagamento.cliente_id]
[attore.attore_id] [= [pagamento.noleggio_id]
[negozio.negozio_id] [= [attore.attore_id]
[negozio.negozio_id] [= [categoria.categoria_id]
[negozio.negozio_id] [= [cliente.cliente_id]
[negozio.negozio_id] [= [cliente.negozio_id]
[negozio.negozio_id] [= [film.film_id]
[negozio.negozio_id] [= [film_attore.attore_id]
[negozio.negozio_id] [= [film_attore.film_id]
[negozio.negozio_id] [= [film_categoria.film_id]
[negozio.negozio_id] [= [film_categoria.categoria_id]
[negozio.negozio_id] [= [indirizzo.indirizzo_id]
[negozio.negozio_id] [= [indirizzo.città_id]
[negozio.negozio_id] [= [indirizzo.stato_id]
[negozio.negozio_id] [= [inventario.inventario_id]
[negozio.negozio_id] [= [inventario.film_id]
[negozio.negozio_id] [= [inventario.negozio_id]
[negozio.negozio_id] [= [lingua.lingua_id]
[negozio.negozio_id] [= [negozio.capo_personale_id]
[negozio.negozio_id] [= [negozio.indirizzo_id]
[negozio.negozio_id] [= [pagamento.pagamento_id]
[negozio.negozio_id] [= [pagamento.cliente_id]
[negozio.negozio_id] [= [pagamento.ppersonale_id]
[negozio.negozio_id] [= [pagamento.noleggio_id]
[negozio.negozio_id] [= [pagamento.inventario_id]
[negozio.negozio_id] [= [pagamento.npersonale_id]
[negozio.negozio_id] [= [personale.personale_id]
[negozio.negozio_id] [= [personale.negozio_id]
[film.lingua_originale_id] [= [attore.attore_id]
[film.lingua_originale_id] [= [attore.nome]
[film.lingua_originale_id] [= [attore.cognome]
[film.lingua_originale_id] [= [categoria.categoria_id]
[film.lingua_originale_id] [= [categoria.nome]
[film.lingua_originale_id] [= [cliente.cliente_id]
[film.lingua_originale_id] [= [cliente.negozio_id]
[film.lingua_originale_id] [= [cliente.nome]
[film.lingua_originale_id] [= [cliente.cognome]
[film.lingua_originale_id] [= [cliente.email]
[film.lingua_originale_id] [= [cliente.indirizzo_id]
[film.lingua_originale_id] [= [cliente.attivo]
[film.lingua_originale_id] [= [cliente.data_creazione]
[film.lingua_originale_id] [= [film.film_id]
[film.lingua_originale_id] [= [film.titolo]
[film.lingua_originale_id] [= [film.descrizione]
[film.lingua_originale_id] [= [film.data_rilascio]
[film.lingua_originale_id] [= [film.lingua_id]
[film.lingua_originale_id] [= [film.durata_noleggio]
[film.lingua_originale_id] [= [film.tariffa_noleggio]
[film.lingua_originale_id] [= [film.durata]
[film.lingua_originale_id] [= [film.costo_sostituzione]
[film.lingua_originale_id] [= [film.voto]
[film.lingua_originale_id] [= [film_attore.attore_id]
[film.lingua_originale_id] [= [film_attore.film_id]
[film.lingua_originale_id] [= [film_categoria.film_id]
[film.lingua_originale_id] [= [film_categoria.categoria_id]
[film.lingua_originale_id] [= [indirizzo.indirizzo_id]
[film.lingua_originale_id] [= [indirizzo.indirizzo]
[film.lingua_originale_id] [= [indirizzo.indirizzo2]
[film.lingua_originale_id] [= [indirizzo.distretto]
[film.lingua_originale_id] [= [indirizzo.codice_postale]
[film.lingua_originale_id] [= [indirizzo.telefono]
[film.lingua_originale_id] [= [indirizzo.città_id]
[film.lingua_originale_id] [= [indirizzo.città]
[film.lingua_originale_id] [= [indirizzo.stato_id]
[film.lingua_originale_id] [= [indirizzo.stato]
[film.lingua_originale_id] [= [inventario.inventario_id]
[film.lingua_originale_id] [= [inventario.film_id]
[film.lingua_originale_id] [= [inventario.negozio_id]
[film.lingua_originale_id] [= [lingua.lingua_id]
[film.lingua_originale_id] [= [lingua.nome]
[film.lingua_originale_id] [= [negozio.negozio_id]
[film.lingua_originale_id] [= [negozio.capo_personale_id]
[film.lingua_originale_id] [= [negozio.indirizzo_id]
[film.lingua_originale_id] [= [pagamento.pagamento_id]
[film.lingua_originale_id] [= [pagamento.cliente_id]
[film.lingua_originale_id] [= [pagamento.ppersonale_id]
[film.lingua_originale_id] [= [pagamento.ammontare]
[film.lingua_originale_id] [= [pagamento.data_pagamento]
[film.lingua_originale_id] [= [pagamento.noleggio_id]
[film.lingua_originale_id] [= [pagamento.data_noleggio]
[film.lingua_originale_id] [= [pagamento.inventario_id]
[film.lingua_originale_id] [= [pagamento.data_restituzione]
[film.lingua_originale_id] [= [pagamento.npersonale_id]
[film.lingua_originale_id] [= [personale.personale_id]
[film.lingua_originale_id] [= [personale.nome]
[film.lingua_originale_id] [= [personale.cognome]
[film.lingua_originale_id] [= [personale.indirizzo_id]
[film.lingua_originale_id] [= [personale.email]
[film.lingua_originale_id] [= [personale.negozio_id]
[film.lingua_originale_id] [= [personale.attivo]
[film.lingua_originale_id] [= [personale.nomeutente]
[film.lingua_originale_id] [= [personale.password]
[pagamento.inventario_id] [= [inventario.inventario_id]
[indirizzo.indirizzo2] [= [attore.attore_id]
[indirizzo.indirizzo2] [= [attore.nome]
[indirizzo.indirizzo2] [= [attore.cognome]
[indirizzo.indirizzo2] [= [categoria.categoria_id]
[indirizzo.indirizzo2] [= [categoria.nome]
[indirizzo.indirizzo2] [= [cliente.cliente_id]
[indirizzo.indirizzo2] [= [cliente.negozio_id]
[indirizzo.indirizzo2] [= [cliente.nome]
[indirizzo.indirizzo2] [= [cliente.cognome]
[indirizzo.indirizzo2] [= [cliente.email]
[indirizzo.indirizzo2] [= [cliente.indirizzo_id]
[indirizzo.indirizzo2] [= [cliente.attivo]
[indirizzo.indirizzo2] [= [cliente.data_creazione]
[indirizzo.indirizzo2] [= [film.film_id]
[indirizzo.indirizzo2] [= [film.titolo]
[indirizzo.indirizzo2] [= [film.descrizione]
[indirizzo.indirizzo2] [= [film.data_rilascio]
[indirizzo.indirizzo2] [= [film.lingua_id]
[indirizzo.indirizzo2] [= [film.lingua_originale_id]
[indirizzo.indirizzo2] [= [film.durata_noleggio]
[indirizzo.indirizzo2] [= [film.tariffa_noleggio]
[indirizzo.indirizzo2] [= [film.durata]
[indirizzo.indirizzo2] [= [film.costo_sostituzione]
[indirizzo.indirizzo2] [= [film.voto]
[indirizzo.indirizzo2] [= [film_attore.attore_id]
[indirizzo.indirizzo2] [= [film_attore.film_id]
[indirizzo.indirizzo2] [= [film_categoria.film_id]
[indirizzo.indirizzo2] [= [film_categoria.categoria_id]
[indirizzo.indirizzo2] [= [indirizzo.indirizzo_id]
[indirizzo.indirizzo2] [= [indirizzo.indirizzo]
[indirizzo.indirizzo2] [= [indirizzo.distretto]
[indirizzo.indirizzo2] [= [indirizzo.codice_postale]
[indirizzo.indirizzo2] [= [indirizzo.telefono]
[indirizzo.indirizzo2] [= [indirizzo.città_id]
[indirizzo.indirizzo2] [= [indirizzo.città]
[indirizzo.indirizzo2] [= [indirizzo.stato_id]
[indirizzo.indirizzo2] [= [indirizzo.stato]
[indirizzo.indirizzo2] [= [inventario.inventario_id]
[indirizzo.indirizzo2] [= [inventario.film_id]
[indirizzo.indirizzo2] [= [inventario.negozio_id]
[indirizzo.indirizzo2] [= [lingua.lingua_id]
[indirizzo.indirizzo2] [= [lingua.nome]
[indirizzo.indirizzo2] [= [negozio.negozio_id]
[indirizzo.indirizzo2] [= [negozio.capo_personale_id]
[indirizzo.indirizzo2] [= [negozio.indirizzo_id]
[indirizzo.indirizzo2] [= [pagamento.pagamento_id]
[indirizzo.indirizzo2] [= [pagamento.cliente_id]
[indirizzo.indirizzo2] [= [pagamento.ppersonale_id]
[indirizzo.indirizzo2] [= [pagamento.ammontare]
[indirizzo.indirizzo2] [= [pagamento.data_pagamento]
[indirizzo.indirizzo2] [= [pagamento.noleggio_id]
[indirizzo.indirizzo2] [= [pagamento.data_noleggio]
[indirizzo.indirizzo2] [= [pagamento.inventario_id]
[indirizzo.indirizzo2] [= [pagamento.data_restituzione]
[indirizzo.indirizzo2] [= [pagamento.npersonale_id]
[indirizzo.indirizzo2] [= [personale.personale_id]
[indirizzo.indirizzo2] [= [personale.nome]
[indirizzo.indirizzo2] [= [personale.cognome]
[indirizzo.indirizzo2] [= [personale.indirizzo_id]
[indirizzo.indirizzo2] [= [personale.email]
[indirizzo.indirizzo2] [= [personale.negozio_id]
[indirizzo.indirizzo2] [= [personale.attivo]
[indirizzo.indirizzo2] [= [personale.nomeutente]
[indirizzo.indirizzo2] [= [personale.password]
[indirizzo.città_id] [= [film.film_id]
[indirizzo.città_id] [= [film_categoria.film_id]
[indirizzo.città_id] [= [inventario.inventario_id]
[film_attore.film_id] [= [film.film_id]
[film_attore.film_id] [= [film_categoria.film_id]
[film_attore.film_id] [= [inventario.inventario_id]
[personale.nomeutente] [= [personale.nome]
[film_categoria.film_id] [= [film.film_id]
[film_categoria.film_id] [= [inventario.inventario_id]
[inventario.negozio_id] [= [attore.attore_id]
[inventario.negozio_id] [= [categoria.categoria_id]
[inventario.negozio_id] [= [cliente.cliente_id]
[inventario.negozio_id] [= [cliente.negozio_id]
[inventario.negozio_id] [= [film.film_id]
[inventario.negozio_id] [= [film_attore.attore_id]
[inventario.negozio_id] [= [film_attore.film_id]
[inventario.negozio_id] [= [film_categoria.film_id]
[inventario.negozio_id] [= [film_categoria.categoria_id]
[inventario.negozio_id] [= [indirizzo.indirizzo_id]
[inventario.negozio_id] [= [indirizzo.città_id]
[inventario.negozio_id] [= [indirizzo.stato_id]
[inventario.negozio_id] [= [inventario.inventario_id]
[inventario.negozio_id] [= [inventario.film_id]
[inventario.negozio_id] [= [lingua.lingua_id]
[inventario.negozio_id] [= [negozio.negozio_id]
[inventario.negozio_id] [= [negozio.capo_personale_id]
[inventario.negozio_id] [= [negozio.indirizzo_id]
[inventario.negozio_id] [= [pagamento.pagamento_id]
[inventario.negozio_id] [= [pagamento.cliente_id]
[inventario.negozio_id] [= [pagamento.ppersonale_id]
[inventario.negozio_id] [= [pagamento.noleggio_id]
[inventario.negozio_id] [= [pagamento.inventario_id]
[inventario.negozio_id] [= [pagamento.npersonale_id]
[inventario.negozio_id] [= [personale.personale_id]
[inventario.negozio_id] [= [personale.negozio_id]
[cliente.negozio_id] [= [attore.attore_id]
[cliente.negozio_id] [= [categoria.categoria_id]
[cliente.negozio_id] [= [cliente.cliente_id]
[cliente.negozio_id] [= [film.film_id]
[cliente.negozio_id] [= [film_attore.attore_id]
[cliente.negozio_id] [= [film_attore.film_id]
[cliente.negozio_id] [= [film_categoria.film_id]
[cliente.negozio_id] [= [film_categoria.categoria_id]
[cliente.negozio_id] [= [indirizzo.indirizzo_id]
[cliente.negozio_id] [= [indirizzo.città_id]
[cliente.negozio_id] [= [indirizzo.stato_id]
[cliente.negozio_id] [= [inventario.inventario_id]
[cliente.negozio_id] [= [inventario.film_id]
[cliente.negozio_id] [= [inventario.negozio_id]
